date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:57:58	1202013/1202013	---M-Z	200	added ('OK')	text/html	etag:%22fd0529739258f4bd3a8dc1d25313e75f%22	https://numerous-nonogon-655471.framer.app/	D:/Yash%20College%202/Projects/Portfolio%20Website/Portfolio/numerous-nonogon-655471.framer.app/index.html	(from )
15:57:59	112/112	---M-Z	200	added ('OK')	text/plain	etag:%223492473eb2f0451d23856a257a8f1d4b%22	https://numerous-nonogon-655471.framer.app/robots.txt		(from )
15:58:01	2896/2896	---MC-	200	added ('OK')	image/png	etag:%224020899b693f6d38d56f1f25972789f4%22	https://framerusercontent.com/images/vBe56549gs4eoEzOSmyUR33ZTjI.png	D:/Yash%20College%202/Projects/Portfolio%20Website/Portfolio/framerusercontent.com/images/vBe56549gs4eoEzOSmyUR33ZTjI.png	(from https://numerous-nonogon-655471.framer.app/)
15:58:05	755823/755823	---MC-	200	added ('OK')	image/gif	etag:%229c5a3d9d99594ca29e901bf84bce475e%22	https://framerusercontent.com/images/AVsssNQRylEZc5orEWvz8Q1wQT4.gif?width=500&height=700	D:/Yash%20College%202/Projects/Portfolio%20Website/Portfolio/framerusercontent.com/images/AVsssNQRylEZc5orEWvz8Q1wQT4372c.gif	(from https://numerous-nonogon-655471.framer.app/)
15:58:05	19714/19714	---MC-	200	added ('OK')	image/jpeg	etag:%2241ec3d2c80ea94e681f0f2daf2fa3c9b%22	https://framerusercontent.com/images/IUYreEo8ON7qCLgK2tgDOW0xoI.jpg	D:/Yash%20College%202/Projects/Portfolio%20Website/Portfolio/framerusercontent.com/images/IUYreEo8ON7qCLgK2tgDOW0xoI.jpg	(from https://numerous-nonogon-655471.framer.app/)
15:58:08	553137/553137	---M-Z	200	added ('OK')	text/html	etag:%2296b56ee133b34fc29b8437f3ea2244f2%22	https://numerous-nonogon-655471.framer.app/about	D:/Yash%20College%202/Projects/Portfolio%20Website/Portfolio/numerous-nonogon-655471.framer.app/about.html	(from https://numerous-nonogon-655471.framer.app/)
15:58:11	553137/553137	---M-Z	200	added ('OK')	text/html	etag:%2296b56ee133b34fc29b8437f3ea2244f2%22	https://numerous-nonogon-655471.framer.app/projects	D:/Yash%20College%202/Projects/Portfolio%20Website/Portfolio/numerous-nonogon-655471.framer.app/projects.html	(from https://numerous-nonogon-655471.framer.app/)
15:58:13	553137/553137	---M-Z	200	added ('OK')	text/html	etag:%2296b56ee133b34fc29b8437f3ea2244f2%22	https://numerous-nonogon-655471.framer.app/blogs	D:/Yash%20College%202/Projects/Portfolio%20Website/Portfolio/numerous-nonogon-655471.framer.app/blogs.html	(from https://numerous-nonogon-655471.framer.app/)
15:58:14	185368/185368	---MC-	200	added ('OK')	image/jpeg	etag:%221149fe6c3cfde5aa56adb945847d9e21%22	https://framerusercontent.com/images/VRQgkdWsjawSg1qpCm45HfSY1I.jpeg?width=960&height=1200	D:/Yash%20College%202/Projects/Portfolio%20Website/Portfolio/framerusercontent.com/images/VRQgkdWsjawSg1qpCm45HfSY1I75d1.jpg	(from https://numerous-nonogon-655471.framer.app/)
15:58:15	41607/41607	---MC-	200	added ('OK')	image/jpeg	etag:%2285a03124107da01c78db0b497fd01c75%22	https://framerusercontent.com/images/qrxY8NagVO40NBrdhFEGgFR3PYY.jpg?width=620&height=630	D:/Yash%20College%202/Projects/Portfolio%20Website/Portfolio/framerusercontent.com/images/qrxY8NagVO40NBrdhFEGgFR3PYYe606.jpg	(from https://numerous-nonogon-655471.framer.app/)
